numero;pelicula;distribuidora;recaudacion mundial (USD);presupuesto (USD);year;director;locacion;ubicacion;descripcion;images;trailer
1;Avatar;20th Century Studios;$2 844 313 842;$237 000 000;2009;James Cameron;29.3944861,110.4483935;Inspirado en el parque forestal nacional de Zhangjiajie, Huan, China;Un marino parapléjico enviado a la luna Pandora en una misión única se debate entre seguir sus órdenes y proteger el mundo que siente como su hogar.;1avatar.png;https://www.youtube.com/watch?v=CpXJHWSXJW0
2;Avengers: Endgame;Marvel Studios/Walt Disney Pictures;$2 797 800 564;$356 000 000;2019;Anthony y Joe Russo;33.8289243,-84.3793723;Una de sus locaciones fue Atlanta, Georgia, Estados Unidos;Tras los devastadores acontecimientos de Vengadores: Infinity War (2018), el universo está en ruinas. Con la ayuda de los aliados restantes, los Vengadores se reúnen una vez más para revertir las acciones de Thanos y restaurar el equilibrio del universo.;2avengers_endagme.jpeg;https://www.youtube.com/watch?v=TcMBFSGVi1c
3;Titanic;20th Century Studios;$2 187 463 944;$200 000 000;1997;James Cameron;31.8173387,-116.6601192;Una de sus locaciones fue Rosarito, Baja California, México;Una aristócrata de diecisiete años se enamora de un amable pero pobre artista a bordo del lujoso y malogrado R.M.S. Titanic.;3titanic.jpeg;https://www.youtube.com/watch?v=FiRVcExwBVA
4;Star Wars: Episode VII;Walt Disney Pictures;$2 068 223 624;$245 000 000;2015;J. j. Abrams;24.3374862,51.7110798;Una de sus locaciones fue Emiratos Árabes Unidos;Cuando una nueva amenaza se cierne sobre la galaxia, Rey, una carroñera del desierto, y Finn, un ex soldado de asalto, deben unirse a Han Solo y Chewbacca para buscar la única esperanza de restaurar la paz.;4star_wars_vii.jpeg;https://www.youtube.com/watch?v=sGbxmsDFVnE
5;Avengers: Infinity War;Marvel Studios/Walt Disney Pictures;$2 048 359 754;$356 000 000;2018;Anthony y Joe Russo;40.5751972,-74.2505138;Una de sus locaciones fue Nueva York, Estados Unidos;Los Vengadores y sus aliados deberán estar dispuestos a sacrificarlo todo para intentar derrotar al poderoso Thanos antes de que su bombardeo de devastación y ruina ponga fin al universo.;5avengers_infinitywar.jpg;https://www.youtube.com/watch?v=3xk11d9hjp0
6;Jurassic World;Universal Pictures;$1 671 713 208;$150 000 000;2015;Colin Trevorrow;21.5188619,-157.8491002;Una de sus locaciones fue Kualoa Ranch, Hawai;Un nuevo parque temático, construido en el emplazamiento original de Parque Jurásico, crea un dinosaurio híbrido modificado genéticamente, el Indominus Rex, que escapa a la contención y se lanza a la matanza.;6jurassic_world.jpeg;https://www.youtube.com/watch?v=nQwt1nlSQ3A
7;El rey león;Walt Disney Pictures;$1 656 943 394;$260 000 000;2019;Jon Favreau;30.4408341,-117.976412;Walt Disnet Studios;El príncipe león Simba y su padre están en el punto de mira de su amargado tío, que quiere ascender él mismo al trono.;7elreyleon.jpg;https://www.youtube.com/watch?v=bjJvvrKl83M
8;Avengers;Marvel Studios/Walt Disney Pictures;$1 518 812 988;$220 000 000;2012;Joss Whedon;40.5751972,-74.2505138;Una de sus locaciones fue Nueva York, Estados Unidos;Los héroes más poderosos de la Tierra deben unirse y aprender a luchar en equipo si quieren impedir que el travieso Loki y su ejército alienígena esclavicen a la humanidad.;8avengers.png;https://www.youtube.com/watch?v=eOrNdBpGMv8
9;Fast and Furious 7;Universal Pictures;$1 516 045 911;"$190 000 000	";2015;James Wan;23.9863115,54.7091456;Una de sus locaciones fue Abu Dhabi, Emiratos Árabes Unidos;Deckard Shaw busca venganza contra Dominic Toretto y su familia por su hermano comatoso.;9furious7.jpeg;https://www.youtube.com/watch?v=Skpu5HaVkOc
10;Frozen II;Walt Disney Pictures;$1 449 058 802;$150 000 000;2019;Chris Buck, Jennifer Lee;30.4408341,-117.976412;Walt Disnet Studios;Anna, Elsa, Kristoff, Olaf y Sven dejan Arendelle para viajar a un antiguo bosque otoñal de una tierra encantada. Se proponen encontrar el origen de los poderes de Elsa para salvar su reino.;10frozen2.png;https://www.youtube.com/watch?v=Zi4LMpSDccc
